
-0,44,0,80,2,83,1
-0,20,0,18,1,47,1
-0,09,-0,04,0,30,1
0,03,-0,26,-0,28,1
-0,33,-0,06,0,75,1
-0,28,0,76,2,66,1
-0,23,0,23,1,04,1
-0,00,-0,31,-0,13,1
-0,17,-0,20,-0,11,1
-0,58,0,63,2,53,1
-0,37,0,27,1,62,1
-0,02,-0,25,0,10,1
-0,01,-0,29,-0,22,1
-0,42,0,05,0,90,1
-0,41,0,90,3,41,1
-0,39,0,22,1,08,1
0,00,-0,28,-0,32,1
0,04,-0,35,-0,41,1
-0,57,0,18,1,30,1
-0,33,0,82,3,64,1
-0,56,0,16,1,08,1
0,03,-0,37,-0,56,1
0,10,-0,35,-0,35,1
-0,76,0,28,1,90,1
-0,38,0,62,2,86,1
-0,41,-0,00,0,79,1
0,03,-0,38,-0,61,1
-0,13,-0,25,-0,18,1
-0,88,0,33,2,63,1
-0,51,0,23,1,90,1
-0,34,-0,14,0,00,1
0,07,-0,47,-0,91,1
-0,38,-0,23,0,66,1
-0,48,0,89,4,00,1
-0,49,0,11,1,35,1
-0,14,-0,26,-0,37,1
-0,02,-0,26,-0,46,1
-0,61,0,08,1,94,1
-0,38,0,40,2,76,1
-0,48,-0,03,0,46,1
0,00,-0,36,-1,08,1
-0,23,-0,10,0,10,1
-0,51,0,19,2,64,1
-0,42,0,26,2,35,1
-0,41,-0,14,0,19,1
-0,02,-0,33,-0,97,1
-0,30,-0,11,0,40,1
-0,52,0,57,3,59,1
-0,39,0,11,1,63,1
-0,14,-0,14,-0,14,1
0,08,-0,36,-0,52,1
-0,52,-0,02,1,10,1
-0,75,0,87,3,42,1
-0,54,0,12,1,06,1
-0,04,-0,39,-0,41,1
0,03,-0,33,-0,22,1
-0,62,0,27,2,22,1
-0,34,0,25,2,33,1
-0,27,0,00,0,61,1
0,02,-0,29,-0,77,1
0,00,-0,35,0,08,1
-0,44,0,65,3,16,1
-0,40,0,07,1,87,1
-0,24,-0,16,0,09,1
0,08,-0,40,-0,65,1
0,05, -0,25, 0,26, 1
-0,26,0,84,3,48,1
-0,40,0,04,1,29,1
-0,08,-0,27,-0,05,1
0,02,-0,35,-0,61,1
-0,57,0,09,1,44,1
-0,25,0,73,3,06,1
-0,38,0,20,0,92,1
-0,05,-0,39,-0,52,1
-0,01,-0,46,-0,11,1
-0,69,0,33,2,50,1
-0,43,0,24,1,79,1
-0,32,-0,02,0,35,1
0,01,-0,57,-0,80,1
-0,22,-0,36,0,18,1
-0,06,1,31,4,00,1
-0,41,0,02,1,05,1
-0,10,-0,54,-0,76,1
-0,20,-0,38,-0,12,1
-0,70,0,85,3,55,1
-0,32,0,06,1,91,1
-0,31,-0,26,-0,06,1
-0,03,-0,54,-0,57,1
-0,32,0,31,1,58,1
-0,44,0,81,2,96,1
-0,41,-0,43,0,18,1
-0,07,-0,58,-1,21,1
-0,28,-0,37,0,25,1
-0,22,1,09,3,53,1
-0,43,0,29,1,83,1
-0,22,-0,44,-0,45,1
0,01,-0,51,-0,54,1
-0,57,0,25,1,85,1
-0,30,0,59,2,67,1
-0,48,-0,04,0,68,1
-0,00,-0,61,-0,90,1
-0,19,-0,30,0,06,1
-0,64,0,81,3,20,1
-0,39,0,09,1,89,1
-0,30,-0,34,-0,16,1
-0,05,-0,60,-0,81,1
-0,29,-0,23,0,73,1
-0,48,1,16,3,99,1
-0,51,0,14,1,14,1
-0,12,-0,42,-0,62,1
-0,06,-0,63,-0,12,1
-0,45,0,41,2,43,1
-0,52,0,72,2,36,1
-0,32,-0,24,0,12,1
-0,07,-0,51,-0,99,1
-0,34,-0,23,0,22,1
-0,47,1,04,3,52,1
-0,38,0,21,2,31,1
-0,47,-0,05,0,64,1
-0,01,-0,28,-0,33,1
0,27,-0,17,0,01,1
0,03,-0,19,0,18,1
-0,42,0,44,1,28,1
-0,31,0,37,2,44,1
-0,43,-0,03,1,81,1
-0,67,0,09,0,65,1
-0,10,-0,29,-0,42,1
0,27,-0,23,-0,21,1
-0,16,-0,17,0,19,1
-0,62,0,36,1,57,1
